devicename,model,Vpp_in,channel,gain_pos,Vpp_out,switch_setting,notes,gain_measured,dBgain
preampA,TASCAM_Series8p_dyna,1,1,1,1.57,mic/line,,1.57,3.917993000
preampA,TASCAM_Series8p_dyna,1,1,2,1.67,mic/line,,1.67,4.454329000
preampA,TASCAM_Series8p_dyna,1,1,3,2.17,mic/line,,2.17,6.729195000
preampA,TASCAM_Series8p_dyna,1,1,4,4.34,mic/line,,4.34,12.74979500
preampA,TASCAM_Series8p_dyna,1,1,5,5.87,mic/line,,5.87,15.37276200
preampA,TASCAM_Series8p_dyna,1,1,6,7.56,mic/line,,7.56,17.57043600
preampA,TASCAM_Series8p_dyna,1,1,7,12.9,mic/line,,12.9,22.21179400
preampA,TASCAM_Series8p_dyna,1,1,8,NA,mic/line,clipping,#VALUE!,#VALUE!
preampA,TASCAM_Series8p_dyna,0.5,1,7,6.4,mic/line,,12.8,22.14419900
preampA,TASCAM_Series8p_dyna,0.5,1,8,NA,mic/line,clipping,#VALUE!,#VALUE!
preampA,TASCAM_Series8p_dyna,0.25,1,8,10.9,mic/line,,43.6,32.78973000
preampA,TASCAM_Series8p_dyna,0.25,1,9,NA,mic/line,clipping,#VALUE!,#VALUE!
preampA,TASCAM_Series8p_dyna,0.125,1,9,8.7,mic/line,,69.6,36.85218500
preampA,TASCAM_Series8p_dyna,0.125,1,10,NA,mic/line,clipping,#VALUE!,#VALUE!
preampA,TASCAM_Series8p_dyna,0.05,1,10,10.6,mic/line,,212,46.52671700
preampA,TASCAM_Series8p_dyna,0.05,1,11,NA,mic/line,clipping,#VALUE!,#VALUE!
preampA,TASCAM_Series8p_dyna,0.02,1,11,14.3,mic/line,,715,57.08612100
preampA,TASCAM_Series8p_dyna,1,3,1,1.57,mic/line,,1.57,3.917993000
preampA,TASCAM_Series8p_dyna,1,3,2,1.73,mic/line,,1.73,4.760922000
preampA,TASCAM_Series8p_dyna,1,3,3,2.29,mic/line,,2.29,7.196710000
preampA,TASCAM_Series8p_dyna,0.75,3,4,3.62,mic/line,,4.826667000,13.67294600
